sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
6842;SDS011;3460;52.028;8.916;2020-08-23T09:53:01;6.20;;;2.57;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:55:33;6.00;;;2.47;;
6842;SDS011;3460;52.028;8.916;2020-08-23T09:58:02;3.77;;;2.30;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:00:39;3.60;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:03:13;4.43;;;2.03;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:05:47;5.27;;;2.27;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:08:19;5.00;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:10:51;5.00;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:13:24;4.20;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:15:55;5.80;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:18:33;3.87;;;2.27;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:21:06;6.90;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:23:38;5.73;;;2.40;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:26:10;5.93;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:28:41;4.00;;;2.07;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:31:15;5.27;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:33:48;5.23;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:36:20;7.10;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:38:50;3.97;;;2.23;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:41:20;7.03;;;2.33;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:43:52;5.33;;;2.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:46:24;5.73;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:48:58;18.87;;;10.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:51:30;4.13;;;2.43;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:54:06;3.73;;;2.20;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:56:35;5.97;;;1.70;;
6842;SDS011;3460;52.028;8.916;2020-08-23T10:59:06;5.97;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:01:38;6.53;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:04:11;6.60;;;2.10;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:06:43;4.50;;;1.97;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:09:23;11.90;;;7.73;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:11:56;4.27;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:14:27;6.27;;;1.87;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:16:57;7.80;;;2.00;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:19:29;4.73;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:21:59;4.90;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:24:30;7.43;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:27:11;4.87;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:29:42;3.37;;;1.60;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:32:12;4.07;;;1.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:34:44;6.13;;;1.93;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:37:15;3.93;;;1.63;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:39:47;5.13;;;1.90;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:42:17;4.30;;;1.50;;
6842;SDS011;3460;52.028;8.916;2020-08-23T11:44:47;7.00;;;1.53;;
